collegeDegree,female,length,age,age2,fit,se.fit,residual.scale,predProb,cilo,cihi
0,0,68.3544437728814,18,324,-1.5508666946002783,0.19909680212608846,1,0.1749611257863253,0.12552745198449838,0.23855156502962488
0,0,68.3544437728814,19,361,-1.4836572501963246,0.1890430339583395,1,0.18487564867072276,0.13538267679847368,0.24728727994818875
0,0,68.3544437728814,20,400,-1.4181368348398742,0.17947495070598665,1,0.19495383528480148,0.14555380296450723,0.25609479761343346
0,0,68.3544437728814,21,441,-1.3543054485309272,0.17040478898623684,1,0.20516737498998605,0.15599969090616825,0.2649666190732442
0,0,68.3544437728814,22,484,-1.292163091269483,0.16184530565383337,1,0.21548691022179928,0.1666747254451801,0.2738956998497443
0,0,68.3544437728814,23,529,-1.2317097630555425,0.1538095127149278,1,0.2258823173121521,0.1775294146509883,0.2828753937114232
0,0,68.3544437728814,24,576,-1.1729454638891048,0.14631029189438907,1,0.23632299055396805,0.18851112774801565,0.2918993296950013
0,0,68.3544437728814,25,625,-1.1158701937701707,0.13935986710884762,1,0.24677812346853478,0.19956496785827246,0.3009612087391771
0,0,68.3544437728814,26,676,-1.06048395269874,0.1329691203826309,1,0.2572169815706661,0.21063477028456806,0.31005450935627016
0,0,68.3544437728814,27,729,-1.006786740674812,0.12714675130365904,1,0.26760916144210956,0.22166420918864274,0.31917209864358803
0,0,68.3544437728814,28,784,-0.9547785576983877,0.12189830318146515,1,0.27792483158634074,0.23259798402153023,0.32830575652336785
0,0,68.3544437728814,29,841,-0.9044594037694665,0.11722510988011735,1,0.28813495130947114,0.24338304189658422,0.33744563737224126
0,0,68.3544437728814,30,900,-0.8558292788880486,0.11312325181637911,1,0.298211464711646,0.2539697748381355,0.3465797124563384
0,0,68.3544437728814,31,961,-0.8088881830541339,0.10958263990553291,1,0.30812746774052885,0.26431311518072387,0.35569325495659015
0,0,68.3544437728814,32,1024,-0.7636361162677225,0.10658636154188605,1,0.31785734711550695,0.2743734438358698,0.3647684411334841
0,0,68.3544437728814,33,1089,-0.7200730785288144,0.10411041277721925,1,0.327376890744962,0.28411723045819026,0.37378414033769375
0,0,68.3544437728814,34,1156,-0.6781990698374095,0.10212390093088566,1,0.3366633700022043,0.29351734519363826,0.3827159494348008
0,0,68.3544437728814,35,1225,-0.6380140901935079,0.1005897367818252,1,0.3456955948780745,0.30255301732935225,0.39153649492889636
0,0,68.3544437728814,36,1296,-0.5995181395971094,0.09946576012466868,1,0.3544539435763461,0.3112094598387501,0.400215985426352
0,0,68.3544437728814,37,1369,-0.5627112180482143,0.09870617693162947,1,0.3629203685551906,0.3194772199373,0.4087229585488603
0,0,68.3544437728814,38,1444,-0.5275933255468226,0.09826314797936406,1,0.37107838134336363,0.3273513441541118,0.41702514009195224
0,0,68.3544437728814,39,1521,-0.49416446209293396,0.09808836522966852,1,0.37891301867783467,0.33483045630761865,0.4250903248786834
0,0,68.3544437728814,40,1600,-0.4624246276865487,0.09813447948365482,1,0.386410792628699,0.34191583853729524,0.43288719800180825
0,0,68.3544437728814,41,1681,-0.4323738223276665,0.09835628859601374,1,0.39355962740867484,0.3486105845864186,0.4403860366238846
0,0,68.3544437728814,42,1764,-0.40401204601628815,0.09871164541890469,1,0.4003487855213837,0.35491886831678515,0.4475592588124644
0,0,68.3544437728814,43,1849,-0.377339298752412,0.09916208732002024,1,0.4067687857988674,0.36084534556740055,0.4543818104996361
0,0,68.3544437728814,44,1936,-0.3523555805360403,0.09967321874432389,1,0.4128113157282915,0.36639468803488134,0.46083140056219607
0,0,68.3544437728814,45,2025,-0.32906089136717065,0.10021489411423726,1,0.4184691402838051,0.37157123524450686,0.46688860590820147
0,0,68.3544437728814,46,2116,-0.3074552312458054,0.10076125286824454,1,0.42373600927409616,0.3763787443308387,0.47253687396630956
0,0,68.3544437728814,47,2209,-0.28753860017194244,0.10129065532487694,1,0.428606564999979,0.3808202157197927,0.4777624507046973
0,0,68.3544437728814,48,2304,-0.26931099814558346,0.10178556084044514,1,0.43307625179825215,0.3848977741860953,0.48255426002187435
0,0,68.3544437728814,49,2401,-0.25277242516672693,0.10223238105212877,1,0.43714122883538753,0.38861258770972046,0.48690375653401125
0,0,68.3544437728814,50,2500,-0.23792288123537464,0.10262133251797631,1,0.4407982873128649,0.3919648100613585,0.49080476947212665
0,0,68.3544437728814,51,2601,-0.2247623663515248,0.10294630560564862,1,0.4440447730592175,0.3949535365116,0.4942533512151702
0,0,68.3544437728814,52,2704,-0.2132908805151792,0.10320476028559522,1,0.4468785153146478,0.3975767652007008,0.4972476402122638
0,0,68.3544437728814,53,2809,-0.2035084237263356,0.10339765444552458,1,0.44929776236383623,0.3998313594580839,0.4997877447594733
0,0,68.3544437728814,54,2916,-0.19541499598499623,0.10352940617712042,1,0.4513011245415631,0.40171300878120797,0.501875651232242
0,0,68.3544437728814,55,3025,-0.18901059729115932,0.1036078878423534,1,0.4528875250235062,0.403216188393165,0.5035151578056255
0,0,68.3544437728814,56,3136,-0.18429522764482664,0.10364444625773873,1,0.4540561587197652,0.4043341194382999,0.5047118322688527
0,0,68.3544437728814,57,3249,-0.18126888704599597,0.10365393974243435,1,0.4548064595095751,0.40505873407541787,0.5054729901154182
0,0,68.3544437728814,58,3364,-0.17993157549466998,0.10365477885435392,1,0.4551380759900313,0.4053806520799747,0.5058076865588129
0,0,68.3544437728814,59,3481,-0.180283292990846,0.10366895332641705,1,0.45505085585700733,0.4052891780911128,0.5057267134505458
0,0,68.3544437728814,60,3600,-0.18232403953452625,0.10372202316573462,1,0.45454483899001036,0.40477233124810896,0.5052425893332777
0,0,68.3544437728814,61,3721,-0.18605381512570895,0.1038430475424332,1,0.45362025927166494,0.4038169214111523,0.5043695282740271
0,0,68.3544437728814,62,3844,-0.19147261976439545,0.10406442179688451,1,0.45227755513380735,0.4024086880154657,0.5031233711119144
0,0,68.3544437728814,63,3969,-0.19858045345058484,0.10442159186155713,1,0.4505173887828738,0.4005325182181248,0.5015214619535562
0,0,68.3544437728814,64,4096,-0.20737731618427802,0.10495261816714527,1,0.4483406740143066,0.3981727595524005,0.4995824539528944
0,0,68.3544437728814,65,4225,-0.21786320796547454,0.10569756925288606,1,0.4457486124762107,0.39531363797717184,0.4973260324351727
0,0,68.3544437728814,66,4356,-0.2300381287941735,0.10669773990471419,1,0.442742738183576,0.39193978442477684,0.49477255082919375
0,0,68.3544437728814,67,4489,-0.24390207867037672,0.10799470956941142,1,0.43932497001344323,0.38803686175791213,0.49194258560060283
0,0,68.3544437728814,68,4624,-0.25945505759408194,0.10962928200559505,1,0.43549767182599425,0.3835922704713096,0.48885642940003476
0,0,68.3544437728814,69,4761,-0.2766970655652914,0.11164037241756218,1,0.43126371975465766,0.3785958976692116,0.4855335548009865
0,0,68.3544437728814,70,4900,-0.2956281025840033,0.11406392781660071,1,0.42662657608838006,0.37304086282074156,0.481992091303841
0,0,68.3544437728814,71,5041,-0.3162481686502199,0.11693197409572383,1,0.42159036903020725,0.36692420862258585,0.478248362657955
0,0,68.3544437728814,72,5184,-0.3385572637639376,0.12027187537033736,1,0.4161599774581018,0.36024748803603013,0.4743165279722609
0,0,68.3544437728814,73,5329,-0.36255538792516084,0.12410586755334739,1,0.41034111963716363,0.3530172092783968,0.470208358514613
0,0,68.3544437728814,74,5476,-0.38824254113388523,0.1284508934296452,1,0.4041404446390517,0.3452451170220014,0.4659331648008908
0,0,68.3544437728814,75,5625,-0.4156187233901143,0.13331872844051412,1,0.3975656250175058,0.33694830642884216,0.4614978694597298
0,0,68.3544437728814,76,5776,-0.44468393469384626,0.13871635335590501,1,0.39062544907319074,0.3281491827559304,0.4569072046633319
0,0,68.3544437728814,77,5929,-0.475438175045082,0.14464650821862104,1,0.3833299108227711,0.31887529001619386,0.4521640017996594
0,0,68.3544437728814,78,6084,-0.5078814444438198,0.15110835381390814,1,0.3756902955742438,0.30915903639535547,0.4472695367806315
0,0,68.3544437728814,79,6241,-0.5420137428900622,0.15809817109900254,1,0.3677192588126637,0.29903734253075065,0.4422238962842776
0,0,68.3544437728814,80,6400,-0.5778350703838067,0.16561004169537819,1,0.3594308959288307,0.28855123332141963,0.43702633641423394
0,0,68.3544437728814,81,6561,-0.6153454269250549,0.17363646914137798,1,0.35084080019080083,0.277745386989556,0.43167561344684524
0,0,68.3544437728814,82,6724,-0.654544812513806,0.18216891722399406,1,0.34196610627790297,0.2666676486315879,0.42617027456821116
0,0,68.3544437728814,83,6889,-0.695433227150061,0.1911982558119088,1,0.3328255166832157,0.2553685107527482,0.4205089035010649
0,0,68.3544437728814,84,7056,-0.7380106708338197,0.20071511506094494,1,0.3234393083569276,0.24390056079771694,0.41469032110886744
0,0,68.3544437728814,85,7225,-0.7822771435650795,0.21071015559537237,1,0.3138293171220911,0.23231789541489484,0.40871374440478014
0,0,68.3544437728814,86,7396,-0.828232645343844,0.22117426584953467,1,0.3040188976562316,0.2206755027065244,0.4025789091646796
0,0,68.3544437728814,87,7569,-0.8758771761701123,0.23209869899335475,1,0.2940328572039455,0.20902861644184612,0.39628616194792476
0,0,68.3544437728814,88,7744,-0.9252107360438844,0.24347516156143773,1,0.28389736166938095,0.19743204954100232,0.3898365271649571
0,0,68.3544437728814,89,7921,-0.9762333249651567,0.2552958647184997,1,0.273639813330254,0.18593951752317525,0.383231754226247
0,0,68.3544437728814,90,8100,-1.0289449429339346,0.2675535475056382,1,0.2632887001073145,0.17460296559601116,0.3764743490034913
0,0,68.3544437728814,91,8281,-1.0833455899502162,0.28024147973902447,1,0.25287341709866185,0.16347191529531876,0.3695675929901089
0,0,68.3544437728814,92,8464,-1.1394352660140008,0.29335345066029656,1,0.24242406192371216,0.1525928478265105,0.36251555275745767
0,0,68.3544437728814,93,8649,-1.1972139711252865,0.3068837480584297,1,0.2319712062872424,0.1420086413849417,0.35532308161301757
0,0,68.3544437728814,94,8836,-1.2566817052840777,0.32082713142782227,1,0.22154564703445848,0.13175807871972955,0.34799581479399533
0,0,68.3544437728814,95,9025,-1.317838468490372,0.33517880179304393,1,0.2111781407843443,0.12187543913116766,0.3405401590737895
0,0,68.3544437728814,96,9216,-1.380684260744169,0.34993437009495426,1,0.2008991269596628,0.1123901861166232,0.3329632773095039
0,0,68.3544437728814,97,9409,-1.4452190820454698,0.3650898254662277,1,0.19073844463777415,0.10332675823150674,0.325273068202545
